unit_id,cycle,rpm,feed_rate_mm_rev,depth_of_cut_mm,cutting_speed_m_min,vibration_rms_ms2,spectral_kurtosis,spindle_temp_rise_C,acoustic_emission_V,coolant_flow_Lmin,cutting_force_N,motor_power_kW,flank_wear_VB_mm,RUL,tool_state
1,1,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,0.8692157795893231,2.885378974749903,7.614546432398827,0.13443671851296118,18.17683216734483,663.874776095769,1.52769636271623,0.004450003654523041,86,Healthy
1,2,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,0.8162087234013778,2.8562779858814737,7.648512787303433,0.0897284218085749,18.254602651715054,693.8490714378235,1.6774185441257896,0.008955006335759408,85,Healthy
1,3,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,0.8285946616246163,2.888530926223118,9.848869333463952,0.1650548275339112,18.242165339233303,684.695775364318,1.5230442730875715,0.012944391602199212,84,Healthy
1,4,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,0.8573454614930478,3.090382935807549,7.3830450081001375,0.19135110896697047,19.255715295104785,705.6955722502705,1.5909160919254721,0.01638523432966847,83,Healthy
1,5,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,0.8084800033134406,3.1731649693833,8.50195861969238,0.12136465552571327,18.14743212414829,691.3727882334377,1.5570529611925212,0.020867789045234474,82,Healthy
1,6,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,0.9465917912561095,3.174439312481297,9.085481246765879,0.14560230679262265,17.948551638421538,712.4424933827858,1.5905723177886886,0.024255993987664034,81,Healthy
1,7,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,0.86789011511793,3.1945484268606292,9.83302485201567,0.13519760946965115,18.36764462310069,713.9073855555833,1.6439743618481986,0.026857264780635527,80,Healthy
1,8,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,1.1020124221470813,2.8520030013238147,9.268511015970757,0.16848552552219934,17.954148730355094,719.1359617170881,1.6638679670716638,0.03176133557735104,79,Healthy
1,9,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,0.865885262156002,2.8814135254153697,10.734148407523985,0.16539129187173846,18.241101351043962,716.4500527896017,1.6715173187305161,0.033485227519172385,78,Healthy
1,10,3324.3561663863075,0.21310000289738829,1.4515921243548267,133.5682093597968,1.0226811516575829,3.080554387143307,9.646687212744839,0.19469274799128244,18.281561055771476,712.5469477114578,1.6702818972206088,0.0366876296668376,77,Healthy
